Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C
Lakshadweep,2024-01-06,22.5,0.0,98.0,18.9,27.6,16.2,1014.3,22.5
Puducherry,2024-01-06,23.9,1.2,92.5,21.2,26.2,13.7,1015.2,23.9
Andhra Pradesh,2024-01-07,20.0,0.2,60.4,14.8,26.4,8.3,1008.5,20.0
Arunachal Pradesh,2024-01-07,-9.1,0.9,80.8,-15.2,-4.7,26.4,774.0,-9.1
Assam,2024-01-07,15.6,0.0,83.1,9.9,20.0,4.9,1004.9,15.6
Bihar,2024-01-07,18.5,0.5,76.3,11.7,25.6,4.4,1022.1,18.5
Chhattisgarh,2024-01-07,13.9,1.4,70.7,9.8,18.5,15.4,973.8,13.9
Goa,2024-01-07,24.2,0.0,90.3,21.5,29.4,6.8,1008.9,24.2
Gujarat,2024-01-07,16.1,1.1,17.7,0.6,31.6,10.0,1004.6,16.1
Haryana,2024-01-07,11.2,13.6,45.3,7.9,15.1,9.2,975.6,11.2
Himachal Pradesh,2024-01-07,-20.2,0.0,83.1,-24.7,-12.4,31.4,738.9,-20.2
Jharkhand,2024-01-07,15.2,0.0,69.1,7.8,21.9,5.8,982.3,15.2
Karnataka,2024-01-07,14.3,0.3,73.5,8.7,21.1,9.4,917.6,14.3
Kerala,2024-01-07,23.6,1.0,98.0,18.4,27.0,11.9,1018.2,23.6
Madhya Pradesh,2024-01-07,14.1,0.0,64.9,4.5,24.5,7.6,951.3,14.1
Maharashtra,2024-01-07,14.0,0.0,34.8,4.9,21.6,11.2,955.0,14.0
Manipur,2024-01-07,14.5,0.0,74.5,9.1,21.4,6.8,915.0,14.5
Meghalaya,2024-01-07,2.1,0.0,75.1,-5.4,6.0,5.1,873.3,2.1
Mizoram,2024-01-07,3.2,0.0,83.4,-0.6,11.7,0.0,897.1,3.2
Nagaland,2024-01-07,3.7,1.0,79.3,-1.2,12.0,1.6,867.3,3.7
Odisha,2024-01-07,22.2,0.0,67.9,12.5,28.3,11.4,999.6,22.2
Punjab,2024-01-07,14.5,0.0,49.8,5.6,21.3,2.9,994.0,14.5
Rajasthan,2024-01-07,12.8,1.2,15.0,0.6,27.8,11.8,977.7,12.8
Sikkim,2024-01-07,-10.2,0.0,81.0,-17.7,-4.0,29.4,781.4,-10.2
Tamil Nadu,2024-01-07,22.0,0.2,86.3,17.9,26.6,12.0,1002.1,22.0
Telangana,2024-01-07,18.1,0.0,38.7,14.1,22.2,0.6,957.9,18.1
Tripura,2024-01-07,15.7,0.7,76.8,5.8,21.6,0.0,1001.5,15.7
Uttar Pradesh,2024-01-07,14.9,0.0,45.6,10.2,21.0,2.7,1009.9,14.9
Uttarakhand,2024-01-07,-7.1,0.7,94.8,-17.2,3.2,29.1,863.5,-7.1
West Bengal,2024-01-07,19.9,1.3,78.8,18.7,25.6,21.5,1018.6,19.9
Andaman and Nicobar Islands,2024-01-07,24.3,0.1,98.0,21.0,31.3,21.7,1001.8,24.3
Chandigarh,2024-01-07,8.4,0.1,66.1,2.0,12.4,6.4,965.7,8.4
Dadra and Nagar Haveli and Daman and Diu,2024-01-07,27.7,0.0,89.9,24.8,28.0,13.2,1014.2,33.2
Delhi,2024-01-07,15.7,0.4,46.6,6.6,19.3,8.2,990.9,15.7
Jammu and Kashmir,2024-01-07,-18.1,7.7,97.2,-26.6,-11.4,31.8,816.3,-18.1
Ladakh,2024-01-07,-28.2,0.7,34.3,-37.6,-18.2,17.1,600.7,-28.2
Lakshadweep,2024-01-07,23.1,0.0,98.0,20.4,27.9,14.9,1010.7,23.1
Puducherry,2024-01-07,26.6,0.0,77.3,24.4,30.6,15.4,1006.7,26.6
Andhra Pradesh,2024-01-08,21.7,22.1,63.0,15.3,29.7,5.9,982.6,21.7
Arunachal Pradesh,2024-01-08,-8.8,0.0,69.8,-11.7,-3.8,34.0,762.0,-8.8
Assam,2024-01-08,18.4,0.0,66.8,12.5,25.5,12.7,1018.3,18.4
Bihar,2024-01-08,18.1,1.6,63.2,11.3,25.2,5.1,1012.6,18.1
Chhattisgarh,2024-01-08,14.5,4.5,65.7,6.3,23.2,4.5,976.8,14.5
Goa,2024-01-08,17.5,0.0,95.7,11.7,20.3,15.1,1015.7,17.5
Gujarat,2024-01-08,21.6,0.0,15.6,6.5,36.5,1.7,1005.7,21.6
Haryana,2024-01-08,21.2,0.0,41.9,13.6,27.0,8.7,987.8,21.2
Himachal Pradesh,2024-01-08,-20.1,0.0,79.9,-29.3,-13.7,35.3,752.2,-20.1
Jharkhand,2024-01-08,17.5,0.0,77.6,12.9,22.3,16.0,987.2,17.5
Karnataka,2024-01-08,12.4,0.2,68.2,4.8,17.1,20.1,916.4,12.4
Kerala,2024-01-08,24.1,0.0,97.2,18.5,31.5,17.2,1011.7,24.1
Madhya Pradesh,2024-01-08,12.9,0.0,71.5,8.5,15.0,9.9,958.0,12.9
Maharashtra,2024-01-08,10.3,0.0,62.9,2.6,17.1,15.0,952.1,10.3
Manipur,2024-01-08,6.4,0.7,76.1,6.0,9.0,0.0,922.6,6.4
Meghalaya,2024-01-08,9.0,5.1,91.2,2.9,17.5,5.9,869.5,9.0
Mizoram,2024-01-08,0.2,0.3,73.3,-11.5,7.6,4.1,894.3,0.2
Nagaland,2024-01-08,0.1,0.9,98.0,-6.2,4.8,9.6,887.7,0.1
Odisha,2024-01-08,16.1,13.1,79.0,7.9,25.3,4.4,993.7,16.1
Punjab,2024-01-08,13.0,7.8,50.6,8.3,16.2,9.0,982.8,13.0
Rajasthan,2024-01-08,12.9,0.5,15.0,2.7,18.1,5.9,990.9,12.9
Sikkim,2024-01-08,-14.5,0.0,73.4,-20.3,-9.6,28.0,786.2,-14.5
Tamil Nadu,2024-01-08,20.8,0.0,98.0,19.6,26.1,8.7,1000.5,20.8
Telangana,2024-01-08,17.2,0.0,44.5,9.9,22.7,8.3,963.0,17.2
Tripura,2024-01-08,22.8,0.0,73.3,12.5,31.8,8.4,999.6,22.8
Uttar Pradesh,2024-01-08,13.7,0.0,62.3,10.8,16.9,7.2,990.8,13.7
Uttarakhand,2024-01-08,0.6,1.1,73.6,-9.1,8.3,38.5,872.6,0.6
West Bengal,2024-01-08,22.8,1.5,88.1,14.5,33.2,11.5,1012.7,22.8
Andaman and Nicobar Islands,2024-01-08,20.8,0.0,98.0,16.0,24.4,18.8,1001.0,20.8
Chandigarh,2024-01-08,14.7,1.2,65.5,8.9,21.2,16.2,977.4,14.7
Dadra and Nagar Haveli and Daman and Diu,2024-01-08,24.1,2.1,82.7,21.0,26.3,12.4,1017.9,24.1
Delhi,2024-01-08,9.6,0.0,44.6,0.4,15.3,8.4,994.8,9.6
Jammu and Kashmir,2024-01-08,-16.5,1.5,86.1,-21.1,-11.4,37.0,821.4,-16.5
Ladakh,2024-01-08,-32.4,0.9,34.2,-47.5,-17.2,15.2,603.2,-32.4
Lakshadweep,2024-01-08,26.3,0.0,98.0,20.3,31.3,18.8,1018.9,26.3
Puducherry,2024-01-08,21.7,0.8,95.1,16.7,26.6,13.7,1014.9,21.7
Andhra Pradesh,2024-01-09,17.5,0.8,84.8,8.0,27.3,6.9,996.5,17.5
Arunachal Pradesh,2024-01-09,-8.7,1.4,65.5,-17.3,-2.7,33.8,771.3,-8.7
