Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C
Meghalaya,2024-01-02,9.4,0.7,87.3,6.1,12.6,7.7,880.8,9.4
Mizoram,2024-01-02,8.8,0.5,82.3,7.2,15.2,2.0,898.4,8.8
Nagaland,2024-01-02,3.5,0.0,95.9,-2.6,8.4,14.4,872.3,3.5
Odisha,2024-01-02,16.6,0.0,66.6,12.8,18.2,1.2,1004.4,16.6
Punjab,2024-01-02,8.4,1.7,71.0,4.5,12.5,14.8,990.3,8.4
Rajasthan,2024-01-02,10.8,0.0,21.2,-2.2,25.3,9.9,991.5,10.8
Sikkim,2024-01-02,-10.6,0.5,76.7,-16.2,-4.6,36.9,786.7,-10.6
Tamil Nadu,2024-01-02,18.6,0.2,98.0,14.3,20.9,3.3,1011.9,18.6
Telangana,2024-01-02,12.5,0.9,49.8,5.9,19.6,1.3,959.8,12.5
Tripura,2024-01-02,18.3,0.0,63.0,12.3,26.8,11.1,1005.3,18.3
Uttar Pradesh,2024-01-02,17.2,0.8,63.7,13.9,19.6,4.6,1003.2,17.2
Uttarakhand,2024-01-02,-9.3,2.3,72.2,-15.3,-4.5,35.1,871.6,-9.3
West Bengal,2024-01-02,23.8,0.0,72.1,17.5,34.6,13.8,1012.2,23.8
Andaman and Nicobar Islands,2024-01-02,12.8,0.0,98.0,10.9,15.8,24.6,1017.8,12.8
Chandigarh,2024-01-02,8.8,0.0,65.9,2.0,17.5,11.2,967.8,8.8
Dadra and Nagar Haveli and Daman and Diu,2024-01-02,25.2,0.0,98.0,24.1,28.7,12.0,1023.6,25.2
Delhi,2024-01-02,15.5,0.0,41.4,6.1,23.6,8.0,987.2,15.5
Jammu and Kashmir,2024-01-02,-14.6,0.0,70.0,-23.5,-5.9,35.2,813.0,-14.6
Ladakh,2024-01-02,-35.2,0.0,35.9,-42.6,-24.6,13.7,603.7,-35.2
Lakshadweep,2024-01-02,22.4,0.6,95.4,17.4,26.0,14.1,1019.6,22.4
Puducherry,2024-01-02,23.7,1.1,86.8,18.2,29.8,15.0,1028.7,23.7
Andhra Pradesh,2024-01-03,20.4,0.0,72.2,12.5,26.7,10.8,997.3,20.4
Arunachal Pradesh,2024-01-03,-6.6,0.0,61.3,-16.9,3.9,29.5,761.4,-6.6
Assam,2024-01-03,16.2,0.0,64.9,11.2,21.4,9.7,1007.7,16.2
Bihar,2024-01-03,19.0,1.3,63.8,15.1,24.1,0.6,1018.8,19.0
Chhattisgarh,2024-01-03,12.9,0.0,76.1,8.6,21.0,5.0,977.1,12.9
Goa,2024-01-03,22.1,0.0,82.4,17.8,25.7,14.3,1008.4,22.1
Gujarat,2024-01-03,12.9,0.7,20.7,-3.2,28.6,7.8,1006.4,12.9
Haryana,2024-01-03,9.3,0.2,44.9,3.4,16.5,9.9,1002.5,9.3
Himachal Pradesh,2024-01-03,-17.2,0.5,85.4,-24.4,-8.9,30.6,741.2,-17.2
Jharkhand,2024-01-03,18.2,0.9,65.1,15.9,23.5,11.6,984.0,18.2
Karnataka,2024-01-03,14.6,0.7,75.9,10.1,19.1,11.2,925.6,14.6
Kerala,2024-01-03,22.9,0.0,79.3,20.5,26.8,14.2,1007.1,22.9
Madhya Pradesh,2024-01-03,12.3,0.0,72.1,3.0,20.9,12.1,955.4,12.3
Maharashtra,2024-01-03,16.2,0.0,53.0,9.9,27.8,8.8,948.1,16.2
Manipur,2024-01-03,2.8,0.0,61.7,-1.3,5.4,12.3,916.7,2.8
Meghalaya,2024-01-03,1.7,0.8,85.0,-1.3,5.1,15.3,872.7,1.7
Mizoram,2024-01-03,6.7,0.6,87.4,0.5,13.7,1.8,888.9,6.7
Nagaland,2024-01-03,0.9,0.0,77.6,-0.1,5.7,11.5,867.8,0.9
Odisha,2024-01-03,13.4,1.3,61.2,9.3,18.0,10.1,1001.2,13.4
Punjab,2024-01-03,10.2,0.0,67.4,5.0,15.5,11.0,987.5,10.2
Rajasthan,2024-01-03,11.6,0.0,15.0,2.0,23.7,12.7,988.4,11.6
Sikkim,2024-01-03,-11.0,0.6,76.3,-20.8,-3.0,29.6,786.0,-11.0
Tamil Nadu,2024-01-03,23.6,0.9,79.8,21.2,22.3,12.2,1001.2,23.6
Telangana,2024-01-03,16.9,0.0,41.4,11.3,18.8,10.9,948.3,16.9
Tripura,2024-01-03,24.2,0.9,61.9,19.7,32.4,11.4,1009.3,24.2
Uttar Pradesh,2024-01-03,17.2,0.0,55.8,8.1,26.5,6.5,1003.2,17.2
Uttarakhand,2024-01-03,-4.3,8.8,75.7,-12.3,4.3,35.3,866.5,-4.3
West Bengal,2024-01-03,20.7,1.0,70.3,11.9,29.7,11.9,1013.9,20.7
Andaman and Nicobar Islands,2024-01-03,20.9,0.0,98.0,18.0,25.2,13.3,1009.4,20.9
Chandigarh,2024-01-03,11.0,0.0,60.2,7.4,15.8,7.3,981.5,11.0
Dadra and Nagar Haveli and Daman and Diu,2024-01-03,21.6,0.0,98.0,15.8,26.1,18.0,1005.0,21.6
Delhi,2024-01-03,13.9,0.0,38.3,6.1,21.8,6.8,991.1,13.9
Jammu and Kashmir,2024-01-03,-13.7,0.1,73.6,-17.7,-7.8,28.3,810.8,-13.7
Ladakh,2024-01-03,-30.3,0.0,36.2,-41.7,-19.5,12.2,596.0,-30.3
Lakshadweep,2024-01-03,25.8,1.3,98.0,22.0,29.1,14.5,1022.5,25.8
Puducherry,2024-01-03,25.6,0.0,95.6,20.7,32.1,10.9,1022.6,25.6
Andhra Pradesh,2024-01-04,21.0,0.0,70.9,15.9,27.2,11.1,1001.9,21.0
Arunachal Pradesh,2024-01-04,-6.6,0.8,67.7,-15.1,3.5,38.9,774.9,-6.6
Assam,2024-01-04,18.3,0.0,62.9,11.9,19.9,7.6,1007.2,18.3
Bihar,2024-01-04,25.6,0.0,79.7,20.7,35.0,8.7,1004.8,25.6
Chhattisgarh,2024-01-04,10.5,0.0,61.4,4.2,18.6,16.7,995.9,10.5
Goa,2024-01-04,19.3,0.0,98.0,14.5,24.9,15.7,1023.8,19.3
Gujarat,2024-01-04,13.4,0.0,20.9,2.2,28.3,3.9,1011.2,13.4
Haryana,2024-01-04,9.2,1.1,47.4,3.8,13.4,13.3,986.6,9.2
Himachal Pradesh,2024-01-04,-17.5,0.0,79.9,-24.7,-8.2,33.1,741.7,-17.5
Jharkhand,2024-01-04,13.5,1.2,69.1,6.0,16.9,1.4,989.8,13.5
Karnataka,2024-01-04,10.0,0.5,70.7,0.7,19.8,4.2,924.5,10.0
Kerala,2024-01-04,28.1,0.0,88.5,23.3,31.3,14.9,1006.4,34.1
Madhya Pradesh,2024-01-04,12.0,0.5,64.3,6.6,20.4,11.3,970.3,12.0
Maharashtra,2024-01-04,15.1,0.0,53.8,9.7,17.3,11.5,950.0,15.1
Manipur,2024-01-04,13.0,0.0,72.8,7.7,21.5,14.4,922.3,13.0
Meghalaya,2024-01-04,2.3,0.1,78.4,-1.3,6.6,10.3,879.6,2.3
Mizoram,2024-01-04,7.6,0.6,91.4,4.2,15.0,8.1,890.3,7.6
Nagaland,2024-01-04,-2.2,1.0,83.0,-10.4,6.1,17.0,881.0,-2.2
Odisha,2024-01-04,24.5,0.6,79.8,21.2,30.6,9.0,1004.0,24.5
Punjab,2024-01-04,10.9,0.0,61.6,2.6,17.8,15.4,989.2,10.9
Rajasthan,2024-01-04,17.2,0.9,15.0,7.0,24.3,7.5,978.2,17.2
Sikkim,2024-01-04,-17.4,0.0,91.1,-22.8,-14.5,34.7,784.8,-17.4
Tamil Nadu,2024-01-04,20.8,0.9,96.9,13.7,27.7,16.9,1015.8,20.8
Telangana,2024-01-04,16.6,1.1,38.3,11.3,24.1,8.2,945.5,16.6
Tripura,2024-01-04,16.7,0.2,67.6,12.4,20.3,9.3,1008.2,16.7
Uttar Pradesh,2024-01-04,19.1,0.0,65.2,12.3,20.7,2.3,1002.1,19.1
Uttarakhand,2024-01-04,-1.6,0.0,65.5,-5.0,3.5,31.7,871.5,-1.6
West Bengal,2024-01-04,20.1,1.0,70.4,15.8,25.7,17.1,1012.9,20.1
Andaman and Nicobar Islands,2024-01-04,28.5,1.8,94.9,23.8,30.9,17.3,1009.5,36.8
Chandigarh,2024-01-04,12.4,0.0,59.6,5.4,19.2,11.9,972.1,12.4
Dadra and Nagar Haveli and Daman and Diu,2024-01-04,26.0,1.3,98.0,23.7,29.1,7.6,1007.7,26.0
Delhi,2024-01-04,14.1,0.1,43.9,7.4,18.9,5.6,996.7,14.1
Jammu and Kashmir,2024-01-04,-19.1,0.0,73.6,-27.0,-10.8,35.9,819.7,-19.1
Ladakh,2024-01-04,-25.8,0.8,29.8,-34.7,-12.3,20.7,599.9,-25.8
Lakshadweep,2024-01-04,26.9,0.7,88.7,22.9,32.5,19.8,1009.5,26.9
Puducherry,2024-01-04,26.3,0.0,89.0,20.4,33.9,20.9,1012.2,26.3
Andhra Pradesh,2024-01-05,17.2,0.0,66.6,8.1,23.3,8.5,997.9,17.2
Arunachal Pradesh,2024-01-05,-8.5,1.2,68.6,-17.5,-0.9,32.6,775.0,-8.5
Assam,2024-01-05,19.1,0.1,67.1,10.6,24.6,14.4,999.9,19.1
Bihar,2024-01-05,17.8,0.0,78.8,11.2,25.7,2.4,1007.1,17.8
Chhattisgarh,2024-01-05,17.5,0.0,70.7,15.4,20.7,10.9,994.2,17.5
Goa,2024-01-05,21.9,0.7,90.0,17.9,25.8,11.5,1019.8,21.9
Gujarat,2024-01-05,17.4,2.0,15.4,1.5,31.8,8.6,1007.5,17.4
Haryana,2024-01-05,21.9,0.0,32.1,16.5,27.8,7.5,982.7,21.9
Himachal Pradesh,2024-01-05,-21.9,0.0,95.4,-28.7,-15.9,33.1,739.6,-21.9
Jharkhand,2024-01-05,17.3,0.0,69.5,9.2,24.3,10.1,983.5,17.3
Karnataka,2024-01-05,14.0,47.6,66.9,5.8,22.3,13.1,911.1,14.0
Kerala,2024-01-05,27.4,3.6,89.0,22.9,34.3,15.5,1004.1,32.0
Madhya Pradesh,2024-01-05,12.6,0.3,66.3,8.5,18.7,8.5,974.4,12.6
Maharashtra,2024-01-05,15.7,0.0,66.5,8.4,24.6,18.5,951.3,15.7
Manipur,2024-01-05,5.3,1.0,79.9,1.6,9.9,3.4,923.3,5.3
Meghalaya,2024-01-05,4.0,0.0,70.9,-0.0,7.2,11.1,885.0,4.0
Mizoram,2024-01-05,3.0,1.4,80.4,0.6,6.1,2.9,895.2,3.0
Nagaland,2024-01-05,4.9,0.0,78.8,-2.7,9.8,10.3,869.8,4.9
Odisha,2024-01-05,22.2,0.0,67.5,16.1,31.4,11.5,996.7,22.2
Punjab,2024-01-05,10.9,0.1,56.7,5.3,18.2,8.8,997.1,10.9
Rajasthan,2024-01-05,19.2,0.0,15.0,11.4,31.6,9.8,994.9,19.2
Sikkim,2024-01-05,-11.3,2.0,72.7,-16.8,-6.3,36.6,789.0,-11.3
Tamil Nadu,2024-01-05,22.0,0.0,98.0,16.1,28.7,11.3,1002.6,22.0
Telangana,2024-01-05,23.8,0.1,38.6,20.3,24.4,3.5,961.3,23.8
Tripura,2024-01-05,14.6,0.0,68.1,7.7,21.5,9.5,1001.3,14.6
Uttar Pradesh,2024-01-05,14.0,0.0,59.7,11.2,16.5,13.6,995.7,14.0
Uttarakhand,2024-01-05,-7.5,0.0,80.0,-13.0,-3.1,33.4,863.4,-7.5
West Bengal,2024-01-05,26.0,0.0,59.8,19.8,28.3,7.1,1018.0,26.0
Andaman and Nicobar Islands,2024-01-05,17.4,0.0,98.0,14.7,19.5,15.2,1017.1,17.4
Chandigarh,2024-01-05,13.2,1.2,69.0,4.9,20.1,8.4,974.6,13.2
Dadra and Nagar Haveli and Daman and Diu,2024-01-05,21.0,0.0,98.0,16.8,24.0,19.8,1013.8,21.0
Delhi,2024-01-05,16.3,0.1,34.1,11.3,21.1,13.5,991.8,16.3
Jammu and Kashmir,2024-01-05,-15.9,0.0,79.8,-20.4,-11.6,30.0,818.5,-15.9
Ladakh,2024-01-05,-28.2,0.0,39.4,-34.8,-22.1,9.6,600.3,-28.2
Lakshadweep,2024-01-05,29.2,0.0,97.3,25.9,34.3,21.9,1015.1,40.0
Puducherry,2024-01-05,21.9,0.4,98.0,19.1,25.1,15.9,1023.0,21.9
Andhra Pradesh,2024-01-06,20.9,0.0,79.5,14.7,24.5,10.4,997.6,20.9
Arunachal Pradesh,2024-01-06,-9.5,1.6,67.3,-14.0,-1.8,44.3,763.0,-9.5
Assam,2024-01-06,17.6,1.4,74.2,12.0,22.0,13.0,1007.1,17.6
Bihar,2024-01-06,13.9,0.0,61.4,11.8,16.9,3.2,1014.9,13.9
Chhattisgarh,2024-01-06,13.6,0.0,70.5,6.4,24.9,3.1,981.9,13.6
Goa,2024-01-06,21.7,0.9,98.0,19.1,26.4,19.0,1004.5,21.7
Gujarat,2024-01-06,17.3,2.3,31.5,5.7,28.2,14.6,992.1,17.3
Haryana,2024-01-06,15.6,0.8,53.1,9.5,17.1,4.4,988.7,15.6
Himachal Pradesh,2024-01-06,-18.8,3.7,80.3,-20.5,-15.1,34.5,740.2,-18.8
Jharkhand,2024-01-06,14.8,1.9,85.3,14.2,19.3,12.3,978.7,14.8
Karnataka,2024-01-06,9.3,0.0,65.1,0.8,15.2,12.1,928.4,9.3
Kerala,2024-01-06,26.7,1.4,98.0,21.8,28.0,7.4,1016.1,26.7
Madhya Pradesh,2024-01-06,10.1,0.3,68.5,7.3,12.9,1.7,965.1,10.1
Maharashtra,2024-01-06,19.8,0.7,34.6,14.4,26.1,11.7,959.6,19.8
Manipur,2024-01-06,10.8,0.0,85.8,6.3,13.8,10.0,933.2,10.8
Meghalaya,2024-01-06,3.3,0.2,90.5,-4.8,6.2,10.2,880.5,3.3
Mizoram,2024-01-06,7.5,0.3,79.8,1.3,14.8,7.6,899.4,7.5
Nagaland,2024-01-06,8.1,0.0,89.1,2.6,12.4,8.1,880.3,8.1
Odisha,2024-01-06,20.3,0.0,66.8,12.2,25.6,12.8,1003.7,20.3
Punjab,2024-01-06,18.8,23.0,38.4,15.6,25.3,14.8,968.1,18.8
Rajasthan,2024-01-06,15.5,0.0,15.0,6.9,20.9,6.6,990.0,15.5
Sikkim,2024-01-06,-7.7,0.5,72.9,-17.6,-0.1,33.0,795.4,-7.7
Tamil Nadu,2024-01-06,21.7,1.6,83.9,19.6,24.7,20.5,1006.5,21.7
Telangana,2024-01-06,10.3,0.4,45.2,4.4,15.9,14.1,965.7,10.3
Tripura,2024-01-06,20.2,0.8,69.5,16.8,22.4,4.4,1010.0,20.2
Uttar Pradesh,2024-01-06,19.3,0.0,59.2,14.7,25.9,8.3,990.4,19.3
Uttarakhand,2024-01-06,-1.7,0.7,67.7,-10.5,9.7,36.5,866.1,-1.7
West Bengal,2024-01-06,22.5,0.0,88.8,15.6,30.2,9.2,1012.8,22.5
Andaman and Nicobar Islands,2024-01-06,23.7,0.0,95.1,20.9,26.2,17.2,1004.9,23.7
Chandigarh,2024-01-06,14.6,0.9,68.8,12.1,15.4,3.5,974.1,14.6
Dadra and Nagar Haveli and Daman and Diu,2024-01-06,24.0,0.9,89.4,18.8,27.0,13.8,1010.7,24.0
Delhi,2024-01-06,19.2,0.2,32.0,13.5,22.0,4.9,976.1,19.2
Jammu and Kashmir,2024-01-06,-16.5,0.0,84.1,-27.0,-6.7,28.4,814.1,-16.5
Ladakh,2024-01-06,-32.1,0.0,16.7,-41.6,-24.0,14.9,600.1,-32.1
Lakshadweep,2024-01-06,21.3,0.0,98.0,17.7,26.7,11.2,1017.8,21.3
Puducherry,2024-01-06,23.2,0.4,91.8,20.1,26.8,14.8,1011.3,23.2
Andhra Pradesh,2024-01-07,22.5,0.2,80.1,17.7,29.9,7.6,1003.1,22.5
Arunachal Pradesh,2024-01-07,-8.7,0.0,66.7,-17.6,-1.1,32.3,763.6,-8.7
Assam,2024-01-07,15.1,0.5,78.0,10.1,23.9,10.6,1010.2,15.1
Bihar,2024-01-07,12.1,0.0,73.8,3.0,22.4,6.4,1002.5,12.1
Chhattisgarh,2024-01-07,18.3,0.7,57.3,13.0,22.1,11.8,971.4,18.3
Goa,2024-01-07,20.9,1.4,84.4,16.9,23.4,10.4,1027.4,20.9
Gujarat,2024-01-07,16.8,0.1,17.0,8.8,22.9,7.5,994.0,16.8
Haryana,2024-01-07,16.1,2.0,37.0,7.0,24.4,14.5,986.4,16.1
Himachal Pradesh,2024-01-07,-21.6,0.8,68.9,-30.6,-11.2,31.1,736.2,-21.6
Jharkhand,2024-01-07,18.5,1.6,62.4,16.5,25.5,6.0,992.0,18.5
Karnataka,2024-01-07,11.2,0.0,61.6,1.9,21.2,15.4,933.5,11.2
Kerala,2024-01-07,30.1,0.0,87.6,26.7,32.8,19.4,1009.9,40.5
Madhya Pradesh,2024-01-07,10.3,0.0,84.0,7.5,13.6,15.8,964.2,10.3
Maharashtra,2024-01-07,14.6,1.3,42.6,6.3,20.7,9.5,946.6,14.6
Manipur,2024-01-07,12.0,1.3,74.1,3.0,20.9,10.6,907.4,12.0
Meghalaya,2024-01-07,6.0,0.0,85.0,0.2,9.0,4.2,873.6,6.0
Mizoram,2024-01-07,1.7,0.0,85.2,-3.9,11.2,11.6,895.6,1.7
Nagaland,2024-01-07,-3.5,0.9,94.9,-10.1,2.7,8.3,885.2,-3.5
Odisha,2024-01-07,15.3,0.9,73.9,6.3,19.9,16.2,996.1,15.3
Punjab,2024-01-07,12.4,0.0,60.7,7.9,20.1,9.7,979.2,12.4
Rajasthan,2024-01-07,15.1,0.0,15.5,8.3,25.2,7.8,989.5,15.1
Sikkim,2024-01-07,-14.1,0.8,84.1,-22.2,-5.3,37.4,795.1,-14.1
Tamil Nadu,2024-01-07,20.6,0.5,97.0,15.4,23.9,19.9,1002.8,20.6
Telangana,2024-01-07,21.2,0.0,32.7,15.2,23.8,6.4,966.6,21.2
Tripura,2024-01-07,20.7,0.4,84.7,17.3,25.9,8.0,1003.5,20.7
Uttar Pradesh,2024-01-07,19.6,0.4,57.1,13.1,26.1,0.6,999.2,19.6
Uttarakhand,2024-01-07,-4.6,0.0,87.4,-15.7,3.7,33.9,874.9,-4.6
West Bengal,2024-01-07,18.2,0.0,77.8,9.9,20.8,16.1,1015.6,18.2
Andaman and Nicobar Islands,2024-01-07,17.0,0.0,98.0,12.5,21.0,19.2,1004.6,17.0
Chandigarh,2024-01-07,13.2,0.4,62.7,9.6,16.7,12.2,980.5,13.2
Dadra and Nagar Haveli and Daman and Diu,2024-01-07,25.9,0.4,91.6,21.8,26.7,11.1,1020.1,25.9
Delhi,2024-01-07,11.6,0.0,36.3,7.7,16.9,12.6,1000.5,11.6
Jammu and Kashmir,2024-01-07,-13.9,0.7,77.5,-17.3,-9.8,31.8,809.8,-13.9
Ladakh,2024-01-07,-30.7,0.4,41.8,-45.4,-16.7,12.2,593.6,-30.7
Lakshadweep,2024-01-07,21.9,0.0,98.0,18.1,26.5,17.7,1020.7,21.9
Puducherry,2024-01-07,24.7,0.1,76.9,20.3,28.5,19.2,1010.2,24.7
Andhra Pradesh,2024-01-08,22.9,0.1,67.8,14.2,31.0,13.3,996.8,22.9
Arunachal Pradesh,2024-01-08,-8.9,0.0,68.2,-17.6,-0.4,34.6,768.1,-8.9
Assam,2024-01-08,15.7,0.0,68.4,8.8,20.7,9.7,1007.5,15.7
Bihar,2024-01-08,16.2,0.5,71.7,9.7,22.2,1.5,1017.7,16.2
Chhattisgarh,2024-01-08,9.0,0.0,80.4,-2.6,18.2,3.8,980.2,9.0
Goa,2024-01-08,23.7,0.0,98.0,20.2,27.2,14.0,1008.5,23.7
Gujarat,2024-01-08,21.5,1.6,15.0,9.7,34.2,10.4,989.1,21.5
Haryana,2024-01-08,17.7,0.0,44.2,11.6,21.4,4.5,993.8,17.7
Himachal Pradesh,2024-01-08,-16.9,0.0,78.5,-23.7,-11.3,38.0,740.7,-16.9
Jharkhand,2024-01-08,13.3,0.1,72.3,9.9,18.7,8.6,977.9,13.3
Karnataka,2024-01-08,10.8,0.3,62.0,0.4,18.8,8.6,921.8,10.8
Kerala,2024-01-08,22.1,1.9,87.7,17.6,26.7,17.4,1002.8,22.1
Madhya Pradesh,2024-01-08,14.6,0.0,67.1,8.7,20.1,6.9,960.4,14.6
Maharashtra,2024-01-08,12.6,0.1,45.5,8.2,18.7,7.5,942.2,12.6
Manipur,2024-01-08,2.7,1.9,89.4,-0.6,4.9,8.7,922.5,2.7
Meghalaya,2024-01-08,7.5,0.4,71.1,-1.4,16.3,7.4,875.8,7.5
Mizoram,2024-01-08,9.0,0.1,86.6,3.7,17.2,10.5,902.5,9.0
Nagaland,2024-01-08,4.8,0.0,98.0,-1.9,10.6,8.6,883.3,4.8
Odisha,2024-01-08,19.3,0.0,70.9,15.2,23.3,10.1,999.9,19.3
Punjab,2024-01-08,14.6,1.4,46.3,7.6,20.4,10.5,987.1,14.6
Rajasthan,2024-01-08,12.9,0.0,15.3,4.7,20.0,7.3,987.1,12.9
Sikkim,2024-01-08,-5.4,0.8,74.3,-14.7,5.4,28.4,799.0,-5.4
Tamil Nadu,2024-01-08,24.9,0.0,85.8,20.9,27.0,14.2,1004.1,24.9
Telangana,2024-01-08,17.3,1.1,38.6,10.2,25.4,8.9,951.9,17.3
Tripura,2024-01-08,18.9,0.0,63.3,13.6,27.8,10.3,1013.5,18.9
Uttar Pradesh,2024-01-08,17.2,0.9,55.7,13.6,23.3,14.0,997.4,17.2
Uttarakhand,2024-01-08,-0.5,0.0,60.7,-6.5,5.6,38.5,872.0,-0.5
West Bengal,2024-01-08,15.1,0.4,79.2,8.8,21.8,17.0,1017.9,15.1
Andaman and Nicobar Islands,2024-01-08,20.9,1.5,98.0,18.4,25.6,27.5,1007.3,20.9
Chandigarh,2024-01-08,10.9,0.7,62.3,4.8,14.2,8.6,971.2,10.9
Dadra and Nagar Haveli and Daman and Diu,2024-01-08,24.3,0.0,87.8,19.2,28.0,12.6,1021.6,24.3
Delhi,2024-01-08,14.2,0.0,48.8,7.9,20.9,8.3,993.8,14.2
Jammu and Kashmir,2024-01-08,-19.2,0.6,70.8,-24.5,-15.1,36.5,809.5,-19.2
Ladakh,2024-01-08,-28.1,1.2,36.7,-40.1,-14.2,16.5,604.8,-28.1
Lakshadweep,2024-01-08,21.0,0.0,94.4,14.6,24.2,27.3,1026.1,21.0
Puducherry,2024-01-08,25.5,1.5,91.5,18.6,33.2,15.8,1013.0,25.5
Andhra Pradesh,2024-01-09,17.6,0.4,68.2,11.0,22.4,18.6,1001.3,17.6
Arunachal Pradesh,2024-01-09,-10.6,0.0,72.7,-14.0,-6.9,36.9,765.5,-10.6
